Index,Model,Features,Countantom-avg,Countantom-med,Countantom-stdev,Ganak-avg,Ganak-med,Ganak-stdev,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev,C2d-avg,C2d-med,C2d-stdev,D4-avg,D4-med,D4-stdev,D4new-avg,D4new-med,D4new-stdev,Dsharp-avg,Dsharp-med,Dsharp-stdev
31,cnf/KConfig/embtoolkit.dimacs,1179,0.19642245259136,0.186580749461428,0.022208163512242,0.036619191250065,0.036569560499629,0.005747784471689,0.039792973479489,0.039792973479489,0.002707796212818,8.85213735320605,8.78940023900941,0.525663636110099,0.100745927141979,0.100042416481301,0.002295854346075,0.101698973588645,0.105710862204432,0.010997991010325,0.128933391608298,0.124405780807138,0.014963207941638
32,cnf/Smarch/ref4955.dimacs,1218,0.82820945781772,0.822217235370772,0.035257941800391,5.91892477994203,5.93101021702751,0.312191698162757,3.12549907222856,3.12549907222856,0.154609775927742,5.88970563840121,5.72682301001623,1.47376662541453,9.84915966293775,9.82786753610708,0.124655533776583,14.8462572385371,14.8363050902262,0.093378306261135,80.863585483022,77.781479306519,26.3732250441288
33,cnf/Smarch/ecos-icse11.dimacs,1244,300,300,0,16.7681674870558,16.8567893253639,1.20887436305773,11.572255087872,11.572255087872,0.376257514567183,7.0842967732437,6.77888829936273,1.16514346448622,7.37139299396426,7.36776034347713,0.114286594539544,7.90699287477881,7.90549897402525,0.01937682980934,143.463588937446,142.666656429879,0.102445011781346
34,cnf/Smarch/pati.dimacs,1248,1.00597474127659,1.01062197113061,0.04426971206956,4.94286149210064,4.93276222998975,0.269886866628063,2.29261447699158,2.29261447699158,0.110540906697852,6.86874744418077,6.31790888705291,2.60784247899696,12.709284930462,12.711085063871,0.1469247235083,5.30435008168221,5.30521996784955,0.013958156351417,82.5827945978008,81.0109039722011,17.6269709341247
35,cnf/CDL/p2106.dimacs,1262,0.643189156084554,0.638282575062476,0.024611408714523,1.89983869295567,1.90647601764067,0.100014183848312,1.26121633073722,1.26121633073722,0.015940884662047,5.67549043441191,5.58154147630557,0.827152094208654,6.88957141794264,6.89746275916696,0.086825370030189,5.36601298354566,5.36489986255765,0.011958692665319,17.0198834281135,17.0235053205397,0.089756132079053
36,cnf/Smarch/integrator_arm9.dimacs,1267,1.9245231215551,1.93309501948534,0.09070557271034,9.51735988673987,9.43722082246677,0.431304639924937,5.7106746626494,5.7106746626494,0.265679744187153,10.6417333646026,9.59129250538535,4.11584637747797,30.0157532968465,28.9449659436941,6.55041202784147,4.03194541707635,4.02479026466608,0.043512482254296,97.1732475446072,92.9581418205053,0.519324860174517
37,cnf/Smarch/olpce2294.dimacs,1274,1.55448145531584,1.56380979405367,0.077692522059441,11.09447729812,11.102938101918,0.560214845752462,3.47756204537582,3.47756204537582,0.135614487797467,6.48208567500114,6.10862923157401,1.55122226438628,19.155188167356,19.1748921868857,0.240387084422745,6.74818045753986,6.73170475196093,0.053303236648391,101.756273551658,102.135962319095,5.03510329850805
38,cnf/Smarch/adderII.dimacs,1276,0.843123081943486,0.850535384583054,0.034108550269013,8.94302318950067,8.93206407770049,0.497284052309026,3.63615152195445,3.63615152195445,0.178663958203268,5.69752368161455,5.2308143065311,1.42621280701651,21.8818447321095,21.8819054190535,0.232644938013474,9.94284259721637,9.93408724758774,0.035270561067106,90.1676005298272,88.6043153621722,2.23317068635764
39,cnf/Smarch/at91sam7sek.dimacs,1296,0.878450313467765,0.882947526464705,0.034933752685587,4.60633858123678,4.61358378836303,0.245251398576462,2.61601501842844,2.61601501842844,0.144880523559794,5.83166626028717,5.7157345819287,1.23391123800996,5.38504137673415,5.37885415158235,0.184627379709544,4.44133453331888,4.43752713408321,0.013155092838936,90.0966958757583,89.3325535305776,2.48011480869345
40,cnf/Smarch/se77x9.dimacs,1319,1.81290257212822,1.8077772159304,0.104355065251364,12.5630541249563,12.5977563595807,0.627712909491168,4.25885412914096,4.25885412914096,0.212587343806967,9.88359185182489,9.26726546999998,1.96133126971687,33.2857261682302,33.0301760539878,6.92129222814591,8.35337718192488,8.34881883300841,0.025552575764439,93.4450439513102,93.4705169755034,1.65022327689427
